seed	embed_type	enc_lang	dec_lang	precision	recall	acc	fscore	mae	stitched	CKA_pre	CKA_post
1	absolute	en	en	0.6129833956906857	0.602	0.602	0.6025827445991639	0.4664	False	1.0	-1.0
1	absolute	en	fr	0.3346685116094797	0.3334	0.3334	0.30987786924284927	0.9996	True	0.018360203677545046	-1.0
1	absolute	fr	en	0.40887451429381644	0.4076	0.4076	0.3808665848898054	0.9536	True	0.018360203677545046	-1.0
1	absolute	fr	fr	0.5123423794060218	0.4884	0.4884	0.49458668344129547	0.6192	False	1.0	-1.0
1	relative	en	en	0.6161407349978636	0.6054	0.6054	0.6038826937151136	0.4506	False	1.0	1.0
1	relative	en	fr	0.620831850689093	0.6054	0.6054	0.6051465795967051	0.448	True	-2.7199733995108977e-05	0.005241463952282878
1	relative	fr	en	0.5457551055479293	0.5126	0.5126	0.5187088262233627	0.568	True	-2.7199733995108977e-05	0.005241463952282878
1	relative	fr	fr	0.5477940349982666	0.5162	0.5162	0.5235436384453837	0.5648	False	1.0	1.0
0	absolute	en	en	0.6046368053052575	0.6052	0.6052	0.604030917760058	0.46	False	1.0	-1.0
0	absolute	en	fr	0.2391193009786076	0.2604	0.2604	0.2362138669365986	1.097	True	0.0290950214937913	-1.0
0	absolute	fr	en	0.2491519637229352	0.305	0.305	0.2427138696721751	1.0152	True	0.0290950214937913	-1.0
0	absolute	fr	fr	0.5226177675008197	0.5164	0.5164	0.5180276352238093	0.5892	False	1.0	-1.0
0	relative	en	en	0.6125409044994504	0.6102	0.6102	0.6103040184617708	0.4506	False	1.0	1.0
0	relative	en	fr	0.6120836670977016	0.6036	0.6036	0.6062841269253668	0.4544	True	0.0079771064476691	0.0026132934753899
0	relative	fr	en	0.520077929996815	0.5284	0.5284	0.5219123979210791	0.5726	True	0.0079771064476691	0.0026132934753899
0	relative	fr	fr	0.5291286447257803	0.528	0.528	0.528221308219057	0.5658	False	1.0	1.0
